Name,Discounted Price,Actual Price,Saving(%),Rating,Reviews,Brand,Core,SSD,Model
DELL LATTITUDE 5550 14TH GEN Core Ultra 5 125U (8GB-512GB SSD),304999.0,340000.0,10,0,0,Dell,Ultra 5,512GB,LATTITUDE 5550 14TH GEN Core Ultra 5 125U
Lenovo IdeaPad Slim 5 2in1 Core i513420H (16GB-512GB) DOS,221999.0,250000.0,11,0,0,Lenovo,Core i5,512GB,IdeaPad Slim 5 2in1 Core i513420H  DOS
HP 15S FC0298AU Notebook AMD Ryzen 5 7430U,133999.0,140500.0,5,5,1,Hp,Ryzen 5,512GB,15S FC0298AU Notebook AMD Ryzen 5 7430U
ASUS Zenbook 14 UX3405C Intel Core Ultra 9 285H (32GB-1TB SSD),389999.0,499999.0,22,0,0,Asus,Ultra 9,1TB,Zenbook 14 UX3405C Intel Core Ultra 9 285H
HP OMNIBOOK  X Flip 16-AS0023DX Core Ultra 7 256V (16GB 1TB SSD),259999.0,290000.0,10,0,0,Hp,Ultra 7,1TB,OMNIBOOK  X Flip 16-AS0023DX Core Ultra 7 256V
LENOVO LEGION PRO 5 Ci9-14900HX (32GB-1TB SSD) RTX 4070 8GB,629999.0,699999.0,10,0,0,Lenovo,Core i9,1TB,LEGION PRO 5 Ci9-14900HX  RTX 4070 8GB
Lenovo Legion Pro 5 Ultra 7-255HX (32GB-1TB SSD) RTX 5060 8GB,622999.0,670000.0,7,0,0,Lenovo,Ultra 7,1TB,Legion Pro 5 Ultra 7-255HX  RTX 5060 8GB
ASUS TUF GAMING F17 FX707VU Ci7-13620H (16GB-512GB SSD) RTX 4050 6GB,327999.0,375000.0,13,0,0,Asus,Core i7,512GB,TUF GAMING F17 FX707VU Ci7-13620H  RTX 4050 6GB
ACER PREDATOR HELIOS 18 AI Core Ultra 9 275HX (64GB-1TB SSD) RTX 5080 16GB,995999.0,1050000.0,5,0,0,Acer,Ultra 9,1TB,PREDATOR HELIOS 18 AI Core Ultra 9 275HX  RTX 5080 16GB
ASUS ROG STRIX G16 G615JMR Ci7 14650HX (16GB-1TB SSD) RTX 5060 8GB,449999.0,570000.0,21,0,0,Asus,Core i7,1TB,ROG STRIX G16 G615JMR Ci7 14650HX  RTX 5060 8GB
Asus Expertbook B1403CVA Ci7 13620H (16GB-1TB SSD),194999.0,245000.0,20,0,0,Asus,Core i7,1TB,Expertbook B1403CVA Ci7 13620H
Lenovo ThinkPad E14 G8 U5-225H (8GB-512GB SSD),244999.0,300000.0,18,0,0,Lenovo,Ultra 5,512GB,ThinkPad E14 G8 U5-225H
Lenovo ThinkPad T14 G6 Ultra 7 225U (16GB-512GB SSD),414999.0,485000.0,14,0,0,Lenovo,Ultra 7,512GB,ThinkPad T14 G6 Ultra 7 225U
Acer Predator Helios Neo 16 AI PHN16-73-97SP Gaming Notebook (16GB-1TB SSD),502999.0,599999.0,16,0,0,Acer,Ultra 9,1TB,Predator Helios Neo 16 AI PHN16-73-97SP Gaming Notebook
ASUS TUF F16 FX608LM Ultra 9-275HX (32GB-1TB SSD) RTX 5060 8GB,549999.0,600000.0,8,0,0,Asus,Ultra 9,1TB,TUF F16 FX608LM Ultra 9-275HX  RTX 5060 8GB
Asus VivoBook 15 x1504VA Ci5 1335U (8GB-512GB SSD),149999.0,200000.0,25,0,0,Asus,Core i5,512GB,VivoBook 15 x1504VA Ci5 1335U
Lenovo Legion 5 Ci9-14900HX (32GB-1TB SSD) RTX 5070 8GB,599999.0,650000.0,8,0,0,Lenovo,Core i9,1TB,Legion 5 Ci9-14900HX  RTX 5070 8GB
HP Victus 15-FA2787NR Core i7-13620H Gaming Laptop (16GB-512GB SSD) RTX 5060 8GB,351999.0,380000.0,7,0,0,Hp,Core i7,512GB,Victus 15-FA2787NR Core i7-13620H Gaming Laptop  RTX 5060 8GB
HP Victus 15-FA2209TX Ci7 14650HX (16GB-512GB SSD) RTX-4050-6GB,337999.0,390000.0,13,0,0,Hp,Core i7,512GB,Victus 15-FA2209TX Ci7 14650HX  RTX-4050-6GB
Apple Macbook Air 13 MW0W3 M4,286999.0,299999.0,4,0,0,Apple,M4,256GB,Macbook Air 13 MW0W3 M4
